LeaderID,Name,Sex,BirthYear,BirthCountry,BirthCP,BirthBCC,DeathReported,MOUID_2015,KoreanName_2015,Name_2022,NameAlternative_2022,BirthString_2015,BirthDateString_2022,BirthPlaceString_2022,DeathString_2015,DeathString_2022
김수길,김수길,남성,,,,,,,,김수길,,,1950년 01월 01일,,,연도미상
김수열,김수열,남성,1943.0,,,,,121.0,김수열,김수열,,1943.11.18,1943년 11월 18일,,,연도미상
김승두,김승두,남성,1958.0,,,,,788.0,김승두,김승두,,1958. 3. 1,1958년 03월 01일,함경남도,,연도미상
김승찬,김승찬,남성,,,,,,,,김승찬,,,연도미상,,,연도미상
김시학,김시학,남성,1932.0,한반도,평양,,,660.0,김시학,김시학,,1932.8.22 평양,1932년 08월 22일,평양시,,연도미상
김양건,김양건,남성,1942.0,한반도,평남,안주시,(사망),454.0,김양건,김양건,,1942.4.24 평남 안주시,1942년 04월 24일,평안남도 안주시,,2015년 12월 29일
김양점,김양점,남성,1944.0,,,,,662.0,김양점,김양점,,1944년생,1944년,,,연도미상
김여정,김여정,여성,,,,,,,,김여정,김여정,,1988년,평양시,,연도미상
김영남,김영남,남성,1928.0,한반도,평양,,,115.0,김영남,김영남,,1928.2.4 평양,1928년 02월 04일,평양시,,연도미상
김영녀,김영녀,미상,,,,,,,,김영녀,,,연도미상,,,연도미상
김영대,김영대,남성,1937.0,,,,,350.0,김영대,김영대,,1937.12.12,1937년 12월 12일,함경남도,,연도미상
김영숙,김영숙,여성,1942.0,한반도,평남,,,664.0,김영숙,김영숙,,1942.8.28 평남,1942년 08월 28일,평안남도,,연도미상
김영식,김영식,남성,,,,,,,,김영식,,,연도미상,,,연도미상
김영일a,김영일,남성,1947.0,한반도,평북,정주시,,351.0,김영일,김영일,,1947.3.17 평북 정주시,1947년 03월 17일,평안북도 정주시,,연도미상
김영일b,김영일,남성,1944.0,,,,,441.0,김영일,김영일,,1944.5.2,1944년 05월 02일,함경남도,,연도미상
김영재,김영재,남성,1952.0,,,,,449.0,김영재,김영재,,1952.9.7,1952년 09월 07일,강원도,,연도미상
김영주,김영주,남성,1920.0,한반도,평남,대동군,,333.0,김영주,김영주,,1920년생 평남 대동군,1920년,평안남도 대동군,,연도미상
김영철a,김영철,남성,1946.0,한반도,양강,,,334.0,김영철,김영철,,1946년생 양강도,1946년,량강도,,연도미상
김영철b,김영철,남성,,,,,,,,김영철,,,연도미상,,,연도미상
김영춘,김영춘,남성,1936.0,한반도,양강,보천군,(사망),432.0,김영춘,김영춘,,1936.3.4 양강도 보천군,1936년 03월 04일,량강도 보천군,,연도미상
김영호,김영호,남성,1952.0,,,,,349.0,김영호,김영호,,1952년생,1952년,함경북도,,연도미상
김영환,김영환,남성,,,,,,,,김영환,,,연도미상,,,연도미상
김영훈a,김영훈,미상,,,,,,,,김영훈,,,연도미상,,,연도미상
김영훈b,김영훈,미상,,,,,,,,김영훈,,,연도미상,,,연도미상
김완수a,김완수,남성,1939.0,한반도,함남,,,320.0,김완수,김완수,,1939.5.10 함남,1941년 01월 01일,함경북도,,연도미상
김용걸,김용걸,미상,,,,,,,,김용걸,,,연도미상,,,연도미상
김용광,김용광,남성,,,,,,,,김용광,,,연도미상,,,연도미상
