LeaderID,EducationDateString,EducationSchoolString,EducationMajorString,EducationGraduationStatus
리찬복,연도미상,국제관계대학,영어과,미상
리태남,연도미상,평양건설건재대학,,졸업
리하일,연도미상,소련군사대학교,,미상
리하일,연도미상,만경대혁명학원,,미상
림경만,연도미상,김일성종합대학,외국어문학,미상
림동옥,연도미상,김일성종합대학,,미상
림상종,연도미상,김일성종합대학,,미상
마원춘,연도미상,평양건설건재대학,,미상
문경덕,연도미상,김일성종합대학,,미상
문재철,연도미상,국제관계대학,,미상
박경선,연도미상,김일성종합대학,외문학부,미상
박관오,연도미상,김일성종합대학,원자력학부,미상
박관오,연도미상,모스크바대학교,물리대학,미상
박길연,연도미상,국제관계대학,,미상
박도춘,연도미상,김일성고급당학교,,미상
박림수,연도미상,김일성군사종합대학,,미상
박명국,연도미상,국제관계대학,,미상
박명국,연도미상,평북 신의주 압록강외국어학원,,미상
박봉주,연도미상,덕천공업대학,,미상
박성철a,연도미상,일본상지대,,미상
박송봉,연도미상,루마니아 유학,,미상
박송봉,연도미상,만경대혁명학원,,미상
박승원,연도미상,김일성군사종합대학교,,미상
박용석,연도미상,김일성종합대학,,미상
박용석,연도미상,만경대혁명학원,,미상
박용석,연도미상,소련철도운수대학,,미상
박용일,연도미상,김일성종합대학,정치경제학,미상
박의춘,연도미상,국제관계대학,,미상
박재경,연도미상,김일성군사종합대학,,미상
박정순,연도미상,중앙당학교,,미상
박진식,연도미상,김일성종합대학,영문과,미상
박태화,연도미상,인민경제대학,,미상
방강수,연도미상,김일성종합대학,정치경제학,미상
배달준,연도미상,체코 프다찌슬바다대,,미상
백남순,연도미상,김일성종합대학,,미상
백인준,연도미상,일본유학,,미상
백인준,연도미상,연희전문2년중퇴,,중퇴
백학림,연도미상,소련아카데미(유학),,미상
백학림,연도미상,중앙당 정치학교,,미상
변영립,연도미상,김일성종합대학,물리수학,미상
성자립,연도미상,만경대혁명학원,,미상
송호경,1965,김일성종합대학,외문학부,미상
신병철,연도미상,김일성종합대학,철학과,미상
안경호,연도미상,김일성종합대학,철학박사,미상
양형섭,연도미상,모스크바대학교,정치경제학,미상
양형섭,연도미상,김일성종합대학,,미상
양형섭,연도미상,중국 칭다오중학교,,미상
여원구,연도미상,모스크바대학교,,미상
연형묵,1953 ~ 1959,체코프라하공대,,미상
연형묵,연도미상,김일성종합대학,,미상
연형묵,연도미상,만경대혁명학원,,미상
오극렬,연도미상,소련 프룬제군사대학 유학,,미상
오극렬,연도미상,김일성종합대학,,미상
오극렬,연도미상,만경대혁명학원,,미상
오극렬,연도미상,공군대학,,미상
오금철,연도미상,소련공군아카데미,,미상
오금철,연도미상,김책공업종합대학,,미상
오금철,연도미상,만경대혁명학원,,미상
오수용,연도미상,김책공업종합대학,,미상
오진우,연도미상,육군대학,,미상
오진우,연도미상,소련 보병학교,,미상
우동측,연도미상,김일성종합대학,,미상
원동연,연도미상,김일성종합대학,정치경제학,미상
윤기정,연도미상,김일성종합대학,,미상
윤기정,연도미상,경기여고,,미상
자성남,연도미상,국제관계대학,,미상
장성우,연도미상,김일성군사종합대학교,,미상
장성우,연도미상,만경대혁명학원,,미상
장성택,연도미상,김일성종합대학,,미상
장성택,1969,모스크바유학,,미상
장웅,연도미상,평양외국어대학,,미상
장윤곤,연도미상,김일성종합대학,,졸업
장재언,연도미상,김책공업종합대학,,미상
장혜명,연도미상,김일성종합대학,조선문학부,미상
전병호,연도미상,모스크바대학교,,미상
전병호,연도미상,김일성종합대학,,미상
전병호,연도미상,만경대혁명학원,,미상
전승훈,연도미상,김책공업종합대학,,미상
전영진,연도미상,국제관계대학,,미상
전하철,연도미상,김일성종합대학,,미상
전희정,연도미상,평양외국어대학,,미상
정명학,연도미상,만경대혁명학원,,미상
정태양,연도미상,김일성종합대학,,미상
조명록,1950 ~ 1952,러시아 공군대학,,미상
조명록,1945,만주 비행학교,,미상
조명록,1945,만경대혁명학원,,미상
조명록,연도미상,중앙당학교,,미상
조명록,연도미상,모스크바 군사대학,,미상
조병주,연도미상,용성기계대학,,미상
조현주,연도미상,김일성종합대학,경제학부,미상
주규창,연도미상,김책공업종합대학,,미상
주동찬,연도미상,평양건설건재대학,,미상
주상성,연도미상,김일성군사대학,,미상
주영길,연도미상,만경대혁명학원,,미상
지재룡,연도미상,김일성종합대학,외국어문학부,미상
차승수,연도미상,김일성종합대학,,졸업
채희정,연도미상,모스크바대학교,,미상
채희정,연도미상,김일성종합대학,,미상
최룡해,연도미상,김일성종합대학,정치경제학,미상
최룡해,연도미상,만경대혁명학원,,미상
최부일,연도미상,김일성군사종합대학,,미상
최성익,연도미상,김일성종합대학,,미상
최수헌,연도미상,국제관계대학,,미상
최영림,연도미상,김일성종합대학,,미상
최영림,연도미상,만경대혁명학원,,미상
최익규,연도미상,김형직사범대학,러시아어문학,미상
최종건,연도미상,구소련 공산대학,,미상
최진수,연도미상,국제관계대학,불어과,졸업
최창식,연도미상,평양의과대학,임상약리학,미상
최칠남,연도미상,김일성종합대학,,졸업
최태복,연도미상,라이프치히공대,,미상
최태복,연도미상,김일성종합대학,,미상
최태복,연도미상,만경대혁명학원,,미상
최휘,연도미상,만경대 혁명학원,,미상
최휘,연도미상,김일성종합대학교,철학부,미상
최희정,연도미상,김책공업종합대학,금속가공공학,미상
태종수,연도미상,만경대혁명학원,,졸업
태형철,연도미상,김일성종합대학,,졸업
한광복,연도미상,김책공업종합대학,,미상
