LeaderID,CareerDateString,CareerString
강석주,2010.09,"당 정치국 위원, 당 중앙위원회 위원"
강석주,2010.09,내각 부총리
강석주,2010.09,외무성 제1부상 해임 * 후임: 김계관
강석주,2009.03,최고인민회의 제12기 대의원
강석주,2003.08,최고인민회의 제11기 대의원
강석주,1998.09,외무성 제1부상
강석주,1998.07,최고인민회의 제10기 대의원
강석주,1994.07,故 김일성 국가장의위원회 위원
강석주,1993.06,북미 고위급회담 대표
강석주,1991.12,당 중앙위원회 위원(보선)
강석주,1990.05,최고인민회의 외교위원회 부위원장
강석주,1990.04,최고인민회의 제9기 대의원
강석주,1988.03,당 중앙위원회 후보위원(보선)
강석주,1987.04,외교부 제1부부장
강석주,1986.11,최고인민회의 제8기 대의원
강석주,1986.04,UNESCO 민족위원회 위원장
강석주,연도미상,"평양외국어대학(영어), 국제관계대학(불어) 졸업"
강성산,2007,사망
강성산,1998.09,총리 해임
강성산,1995.02,故 오진우 국가장의위원회 위원
강성산,1994.07,故 김일성 국가장의위원회 위원
강성산,1993.04,중앙인민위원회 위원 해임
강성산,1992.12,정무원 총리
강성산,1990.05,중앙인민위원회 위원
강성산,1990.04,최고인민회의 제9기 대의원
강성산,1988.03,함경북도 당 책임비서 겸 인민위원회 위원장
강성산,1986.12,"정무원 총리 해임, 당 중앙위원회 비서국 비서(경제담당)"
강성산,1986.11,최고인민회의 제8기 대의원
강성산,1984.01,"정무원 총리, 중앙인민위원회 위원"
강성산,1982.04,김일성훈장 수훈
강성산,1982.02,"최고인민회의 제7기 대의원, 정무원 제1부총리"
강성산,1980.10,당 중앙위원회 위원 겸 정치국 위원
강성산,1979.09,정무원 부총리 겸 철도부장
강성산,1977.12,정무원 부총리
강성산,1977.11,최고인민회의 제6기 대의원
강성산,1975.01,정무원 교통·체신위원회 위원장
강성산,1973.10,당 정치위원회 후보위원
강성산,1973.03,평양시 인민위원회 위원장
강성산,1972.12,최고인민회의 제5기 대의원 겸 상설회의 의원
강성산,1970.11,당 중앙위원회 위원
강성산,1969.11,평양시 당 위원회 책임비서
강성산,1969.08,자강도 당 위원회 책임비서
강성산,1953 ~ 1959,체코 프라하공대
강성산,연도미상,"만경대혁명학원, 김일성종합대학"
강수린,2019.04,최고인민회의 상임위원회 위원
강수린,2019.03,최고인민회의 제14기 대의원
강수린,2015.10,조선적십자회 중앙위원회 위원장 해임 * 후임: 리충복
강수린,2014.04,최고인민회의 상임위원회 위원
강수린,2014.03,최고인민회의 제13기 대의원
강수린,2013.07,조선적십자사 중앙위원회 위원장
강수린,2012.11,조선불교도연맹 위원장
강수린,2004.06,6.15공동행사 등 남북교류협력 담당
강수린,1990.12,제3차 남북고위급회담 수행원
강수린,1990.09,제1차 남북고위급회담 수행원
강수린,연도미상,조선아시아태평양평화위원회 실장
강순남,2021.01,당 부장
강순남,2021.01,당 중앙위원회 위원
강순남,2021.01,당 중앙군사위원회 위원
강순남,2020.01,故 황순희 국가장의위원회 위원
강순남,2019.03,최고인민회의 제14기 대의원
강순남,2018.08,故 김영춘 국가장의위원회 위원
강순남,2016.05,당 중앙위원회 후보위원
강순남,2015.11,故 리을설 국가장의위원회 위원
강순남,연도미상,인민무력성 부상
강순남,연도미상,"제671대연합부대 부대장, 군 중장"
강양모,2019.04,남포시 당 위원회 위원장 해임 * 후임: 김철삼
강양모,2019.03,최고인민회의 제14기 대의원
강양모,2018.12,故 김철만 국가장의위원회 위원
강양모,2018.08,故 김영춘 국가장의위원회 위원
강양모,2016.05,남포시 당 위원회 위원장
강양모,2015.12,故 김양건 국가장의위원회 위원
강양모,2014.07,故 전병호 국가장의위원회 위원
강양모,2014.03,최고인민회의 제13기 대의원
강양모,2011.12,故 김정일 국가장의위원회 위원
강양모,2010.09,당 중앙위원회 위원
강양모,2010.04,故 김중린 국가장의위원회 위원
강양모,2009.12,남포시 당 위원회 책임비서 * 전임: 홍춘삼
강양모,1991,자강도 장강군 당 위원회 책임비서
강영섭,2012.01,"사망(80세, 심장마비)"
강영섭,2009.04,최고인민회의 상임위원회 위원(유임)
강영섭,2009.03,최고인민회의 제12기 대의원
강영섭,2008.10,故 박성철 국가장의위원회 위원
강영섭,2007.06,故 이인모 국가장의위원회 위원
강영섭,2006.03,6.15공동선언실천 북측 위원회 부위원장
강영섭,2003.09,조국통일상 수상
강영섭,2003.09,최고인민회의 상임위원회 위원
강영섭,2003.08,최고인민회의 제11기 대의원
강영섭,2002.03,김일성훈장 수훈
강영섭,1998.12,故 전문섭 국가장의위원회 위원
강영섭,1998.07,최고인민회의 제10기 대의원 겸 상임위원회 위원
강영섭,1994.07,故 김일성 국가장의위원회 위원
강영섭,1993.08,조국통일범민족연합 북측 본부 부의장
강영섭,1991.07,조선-일본 우호친선협회 부회장
