268;안동춘;NULL;NULL;NULL;NULL;NULL;NULL
272;김기룡;1940.3.28 양강도 혜산시;NULL;1940;한반도;양강;혜산시
274;백인준;NULL;NULL;NULL;NULL;NULL;NULL
275;백학림;NULL;NULL;NULL;NULL;NULL;NULL
276;백남순;NULL;NULL;NULL;NULL;NULL;NULL
277;리용무;1925.1.25 평남 평성시;NULL;1925;한반도;평남;평성시
281;김익현;1916년생(1921년說) 황북;당 중앙군사위 위원, 당 중앙위 위원, 최고인민회의 제11기 대의원;1916;한반도;황북;
282;김의순;NULL;NULL;NULL;NULL;NULL;NULL
283;김윤혁;1926년생 평남 양덕;당 중앙위원, 최고인민회의 제11기 대의원;1926;한반도;평남;양덕
288;강민철;NULL;NULL;NULL;NULL;NULL;NULL
291;성자립;1948.10.11;NULL;1948;NULL;NULL;
293;박태화;NULL;NULL;NULL;NULL;NULL;NULL
297;리무영;1948.4.8;NULL;1948;NULL;NULL;
298;리병삼;NULL;NULL;NULL;NULL;NULL;NULL
302;김원균;1917년생 평남;조선음악가동맹 중앙위원회 위원장, 조선민족음악위원회 위원장, 피바다가극단 총장, 최고인민회의 제10기 대의원;1917;한반도;평남;
306;김응관;NULL;NULL;NULL;NULL;NULL;NULL
307;최태복;1930.12.1  남포;NULL;1930;한반도;평남;남포시
308;최희정;1946.10.22;NULL;1946;NULL;NULL;
310;채희정;1924년생  함남;NULL;1924;한반도;함남;
312;박용석;NULL;NULL;NULL;NULL;NULL;NULL
313;박송봉;NULL;NULL;NULL;NULL;NULL;NULL
314;박수길;NULL;NULL;NULL;NULL;NULL;NULL
317;이광호;NULL;NULL;NULL;NULL;NULL;NULL
319;김용순;1934.7.5  평남 평원;당 중앙위 비서(대남 담당), 당 통일전선부 부장, 당 중앙위원, ?조평통? 부위원장, 북-일 우호친선협회 최고고문, 조선반핵평화위원회 위원장, 조선아시아태평양평화위원회 위원장, 최고인민회의 제11기 대의원;1934;한반도;평남;평원
320;김완수;1939.5.10 함남;NULL;1939;한반도;함남;
325;정창렬;1923년생 황해도;NULL;1923;한반도;황해;
326;박성철;NULL;NULL;NULL;NULL;NULL;NULL
328;박봉주;1940년생;NULL;1940;NULL;NULL;
329;리광근;1953.12.14 평양;NULL;1953;한반도;평양;
330;류미영;1921.1.7 서울;NULL;1921;한반도;서울;
331;로배권;1938년생;NULL;1938;NULL;NULL;
333;김영주;1920년생 평남 대동군;NULL;1920;한반도;평남;대동군
334;김영철;1946년생 양강도;NULL;1946;한반도;양강;
338;전진수;1930.11.18 함남;NULL;1930;한반도;함남;
339;전하철;1928.4.22 양강도 김형직군;NULL;1928;한반도;양강;김형직군
341;박림수;1950.11.8;NULL;1950;NULL;NULL;
