181;최승철;1977.~83. 김일성종합대학 경제학부 정치경제학과;1977;김일성종합대학교;대학교;북한;1977_김일성종합대학교_대학교_북한
197;림경만;연도미상 김일성종합대학 외문학부 졸업;NULL;김일성종합대학교;대학교;북한;year_김일성종합대학교_대학교_북한
202;전희정;연도미상 평양외국어대학 졸업;NULL;평양외국어대학교;대학교;북한;year_평양외국어대학교_대학교_북한
208;오익제;연도미상 고려대 경영대학원, 국제관계대학 경제학과 졸업;NULL;고려대학교;대학교;한국;year_고려대학교_대학교_한국
208;오익제;연도미상 고려대 경영대학원, 국제관계대학 경제학과 졸업;NULL;국제관계대학교;대학교;북한;year_국제관계대학교_대학교_북한
211;림동옥;연도미상 김일성종합대학;NULL;김일성종합대학교;대학교;북한;year_김일성종합대학교_대학교_북한
212;리태남;연도미상 평양기계대학 졸업;NULL;평양기계대학교;대학교;북한;year_평양기계대학교_대학교_북한
218;홍성남;연도미상 김일성종합대학, 체코 프라하공대(기계공학 전공);NULL;김일성종합대학교;대학교;북한;year_김일성종합대학교_대학교_북한
218;홍성남;연도미상 김일성종합대학, 체코 프라하공대(기계공학 전공);NULL;프라하공대;대학교;체코;year_프라하공대_대학교_체코
219;허혁필;연도미상 김일성종합대학 외문학부 러시아어 전공;NULL;김일성종합대학교;대학교;북한;year_김일성종합대학교_대학교_북한
220;최춘황;연도미상 김일성종합대학;NULL;김일성종합대학교;대학교;북한;year_김일성종합대학교_대학교_북한
221;오진우;1945이전 빨치산 활동 연도미상 소련 보병학교, 육군대학;1945;소련보병학교;특수학교;러시아;1945_소련보병학교_특수학교_러시아
231;김정일;1950.~52. 중국 길림학원(6.25 당시 자강도 장자산 피신 주장);1950;길림학원;특수학교;중국;1950_길림학원_특수학교_중국
231;김정일;1952.11~53. 만경대혁명학원;1952;만경대혁명학원;특수학교;북한;1952_만경대혁명학원_특수학교_북한
231;김정일;1953.～54. 삼석인민학교, 평양제4인민학교;1953;삼석인민학교;인민학교;북한;1953_삼석인민학교_인민학교_북한
231;김정일;1953.～54. 삼석인민학교, 평양제4인민학교;1953;평양제4인민학교;인민학교;북한;1953_평양제4인민학교_인민학교_북한
231;김정일;1960.9～64.3 김일성종합대학 정치경제학과;1960;김일성종합대학교;대학교;북한;1960_김일성종합대학교_대학교_북한
234;김형준;연도미상 청진사범대학 졸업;NULL;청진사범대학교;대학교;중국;year_청진사범대학교_대학교_중국
235;한성룡;연도미상 만경대혁명학원, 체코 프라하 공대;NULL;만경대혁명학원;특수학교;북한;year_만경대혁명학원_특수학교_북한
235;한성룡;연도미상 만경대혁명학원, 체코 프라하 공대;NULL;프라하공대;대학교;체코;year_프라하공대_대학교_체코
242;양형섭;1950. 소련모스크바대학 정치경제학부;1950;모스크바대학교;대학교;러시아;1950_모스크바대학교_대학교_러시아
242;양형섭;연도미상 중국 칭다오중학교, 김일성종합대학 졸업;NULL;김일성종합대학교;대학교;북한;year_김일성종합대학교_대학교_북한
242;양형섭;연도미상 중국 칭다오중학교, 김일성종합대학 졸업;NULL;칭다오중학교;고등중학교;중국;year_칭다오중학교_고등중학교_중국
245;리제강;연도미상 김일성종합대학 졸업;NULL;김일성종합대학교;대학교;북한;year_김일성종합대학교_대학교_북한
248;김일성;1923. 2 창덕학교 입학;1923;창덕학교;인민학교;북한;1923_창덕학교_인민학교_북한
248;김일성;1925. 만주 무송 제1소학교 전학;1925;제1소학교;인민학교;북한;1925_제1소학교_인민학교_북한
248;김일성;1926. 화성의숙(전현) 전학;1926;화성의숙;고등중학교;만주;1926_화성의숙_고등중학교_만주
248;김일성;1927. 만주 길림 육문중 수학(중퇴), 공산청년동맹 가입;1927;육문중학교;고등중학교;북한;1927_육문중학교_고등중학교_북한
249;한광복;연도미상 김책공업대학 졸업;NULL;김일성종합대학교;대학교;북한;year_김일성종합대학교_대학교_북한
252;김락희;연도미상 개천여자중학교, 인민경제대학 졸업;NULL;개천여자중학교;고등중학교;북한;year_개천여자중학교_고등중학교_북한
252;김락희;연도미상 개천여자중학교, 인민경제대학 졸업;NULL;인민경제대학교;대학교;북한;year_인민경제대학교_대학교_북한
256;송호경;1965. 김일성종합대학 외문학부;1965;김일성종합대학교;대학교;북한;1965_김일성종합대학교_대학교_북한
258;리을설;연도미상 소련군사아카데미 졸업;NULL;소련군사아카데미;특수학교;러시아;year_소련군사아카데미_특수학교_러시아
262;김일철;1948. 훈련소 졸업후 원산기지 해군함정 부중대장 임관;1948;NULL;특수학교;;1948_name_특수학교_
262;김일철;1958. 해군대학 졸업;1958;해군대학교;대학교;러시아;1958_해군대학교_대학교_러시아
262;김일철;1962. 소련 해군대학 유학;1962;해군대학교;대학교;러시아;1962_해군대학교_대학교_러시아
262;김일철;연도미상 만경대혁명학원 졸업;NULL;만경대혁명학원;특수학교;북한;year_만경대혁명학원_특수학교_북한
266;배달준;연도미상 체코 프라타슬라바대 졸업;NULL;프라타슬라바대학교;대학교;체코;year_프라타슬라바대학교_대학교_체코
272;김기룡;연도미상 김일성종합대학 졸업;NULL;김일성종합대학교;대학교;북한;year_김일성종합대학교_대학교_북한
274;백인준;연도미상 연희전문 2년 중퇴, 일본유학;NULL;NULL;NULL;일본;year_name_level_일본
274;백인준;연도미상 연희전문 2년 중퇴, 일본유학;NULL;연희전문학교;대학교;한국;year_연희전문학교_대학교_한국
275;백학림;연도미상 소련아카데미 유학;NULL;소련아카데미;특수학교;러시아;year_소련아카데미_특수학교_러시아
276;백남순;연도미상 김일성종합대학;NULL;김일성종합대학교;대학교;북한;year_김일성종합대학교_대학교_북한
