102;장성택;22;2009. 4 최고인민회의 제12기 대의원, 국방위원회 위원;2009;4;1;Joint;최고인민회의;NA;NA;NA;NA;대의원;1;3;최고인민회의_NA_NA_NA_대의원;25;2010. 6 국방위원회 부위원장, 당 행정부장;2010;6;1;Joint;국방위원회;NA;NA;NA;NA;부위원장;1;2;국방위원회_NA_NA_NA_부위원장
102;장성택;22;2009. 4 최고인민회의 제12기 대의원, 국방위원회 위원;2009;4;1;Joint;최고인민회의;NA;NA;NA;NA;대의원;1;3;최고인민회의_NA_NA_NA_대의원;25;2010. 6 국방위원회 부위원장, 당 행정부장;2010;6;1;Joint;노동당;중앙위원회;행정부;NA;NA;부장;3;1;노동당_중앙위원회_행정부_NA_부장
102;장성택;22;2009. 4 최고인민회의 제12기 대의원, 국방위원회 위원;2009;4;1;Joint;최고인민회의;NA;NA;NA;NA;대의원;1;3;최고인민회의_NA_NA_NA_대의원;26;2010. 9 당 정치국 후보위원, 당 중앙위 위원, 당 중앙군사위 위원;2010;9;1;Joint;노동당;중앙위원회;NA;NA;NA;위원;2;3;노동당_중앙위원회_NA_NA_위원
102;장성택;22;2009. 4 최고인민회의 제12기 대의원, 국방위원회 위원;2009;4;1;Joint;최고인민회의;NA;NA;NA;NA;대의원;1;3;최고인민회의_NA_NA_NA_대의원;26;2010. 9 당 정치국 후보위원, 당 중앙위 위원, 당 중앙군사위 위원;2010;9;1;Joint;노동당;중앙위원회;군사위원회;NA;NA;위원;3;3;노동당_중앙위원회_군사위원회_NA_위원
102;장성택;22;2009. 4 최고인민회의 제12기 대의원, 국방위원회 위원;2009;4;1;Joint;최고인민회의;NA;NA;NA;NA;대의원;1;3;최고인민회의_NA_NA_NA_대의원;26;2010. 9 당 정치국 후보위원, 당 중앙위 위원, 당 중앙군사위 위원;2010;9;1;Joint;노동당;중앙위원회;정치국;NA;NA;후보위원;3;3;노동당_중앙위원회_정치국_NA_후보위원
102;장성택;25;2010. 6 국방위원회 부위원장, 당 행정부장;2010;6;1;Joint;국방위원회;NA;NA;NA;NA;부위원장;1;2;국방위원회_NA_NA_NA_부위원장;31;2012. 4 당 정치국 위원;2012;4;1;NULL;노동당;중앙위원회;정치국;NA;NA;위원;3;3;노동당_중앙위원회_정치국_NA_위원
102;장성택;25;2010. 6 국방위원회 부위원장, 당 행정부장;2010;6;1;Joint;노동당;중앙위원회;행정부;NA;NA;부장;3;1;노동당_중앙위원회_행정부_NA_부장;31;2012. 4 당 정치국 위원;2012;4;1;NULL;노동당;중앙위원회;정치국;NA;NA;위원;3;3;노동당_중앙위원회_정치국_NA_위원
102;장성택;26;2010. 9 당 정치국 후보위원, 당 중앙위 위원, 당 중앙군사위 위원;2010;9;1;Joint;노동당;중앙위원회;NA;NA;NA;위원;2;3;노동당_중앙위원회_NA_NA_위원;31;2012. 4 당 정치국 위원;2012;4;1;NULL;노동당;중앙위원회;정치국;NA;NA;위원;3;3;노동당_중앙위원회_정치국_NA_위원
102;장성택;26;2010. 9 당 정치국 후보위원, 당 중앙위 위원, 당 중앙군사위 위원;2010;9;1;Joint;노동당;중앙위원회;군사위원회;NA;NA;위원;3;3;노동당_중앙위원회_군사위원회_NA_위원;31;2012. 4 당 정치국 위원;2012;4;1;NULL;노동당;중앙위원회;정치국;NA;NA;위원;3;3;노동당_중앙위원회_정치국_NA_위원
102;장성택;26;2010. 9 당 정치국 후보위원, 당 중앙위 위원, 당 중앙군사위 위원;2010;9;1;Joint;노동당;중앙위원회;정치국;NA;NA;후보위원;3;3;노동당_중앙위원회_정치국_NA_후보위원;31;2012. 4 당 정치국 위원;2012;4;1;NULL;노동당;중앙위원회;정치국;NA;NA;위원;3;3;노동당_중앙위원회_정치국_NA_위원
