288;강민철;NULL;채취공업상, 당 중앙위 후보위원, 최고인민회의 제12기 대의원
291;성자립;NULL;당 중앙위 위원, 최고인민회의 제12기 대의원 겸 법제위원회 위원
297;리무영;NULL;내각 부총리 겸 화학공업상, 당 중앙위 위원, 최고인민회의 제12기 대의원
298;리병삼;NULL;조선인민내무군 정치국 국장, 당 정치국 후보위원, 당 중앙위 위원, 인민군 상장
306;김응관;NULL;최고인민회의 제12기 대의원, 前 내각 수도건설부장
307;최태복;NULL;최고인민회의 의장, 당 정치국 위원, 당 중앙위 비서, 당 중앙위 위원, 최고인민회의 제12기 대의원
308;최희정;NULL;당 중앙위 부장, 당 중앙위 위원, 최고인민회의 제12기 대의원
310;채희정;NULL;당 문서정리실 실장, 당 중앙위 위원, 최고인민회의 제12기 대의원
314;박수길;NULL;당 중앙위 위원, 최고인민회의 제12기 대의원
320;김완수;NULL;6.15공동선언실천 북측위원장, 조국통일민주주의전선 서기국장, 민족화해협의회 부회장, 최고인민회의 제12기 대의원, 최고인민회의 부의장
325;정창렬;NULL;인민무력부 부부장, 인민군 대장, 최고인민회의 제12기 대의원
328;박봉주;NULL;내각 총리
329;리광근;NULL;합영투자위원회 위원장
330;류미영;NULL;조선천도교 청우당 위원장, 조선천도교회 중앙지도위원회 위원장, 단군민족통일협의회 회장, 조선종교인협회 부회장, 최고인민회의 제12기 대의원 겸 상임위원회 위원
331;로배권;NULL;황해남도 당위원회 책임비서, 당 중앙위 위원, 최고인민회의 제12기 대의원
333;김영주;NULL;최고인민회의 상임위원회 명예부위원장, 최고인민회의 제12기 대의원
334;김영철;NULL;인민군 부총참모장 겸 정찰총국장, 당 중앙군사위 위원, 당 중앙위 위원,  인민군 대장, 최고인민회의 제12기 대의원
338;전진수;NULL;인민군 상장, 당 중앙위 위원, 최고인민회의 제12기 대의원
339;전하철;NULL;당 중앙위 위원, 국가학위학직수여위원장, 최고인민회의  제12기 대의원
341;박림수;NULL;인민군 판문점대표부 대표, 국방위원회 정책국장, 인민군 소장
343;박남기;NULL;前 당 중앙위 부장
344;박도춘;NULL;당 중앙위 비서, 당 정치국 위원, 당 중앙위 위원, 국방위원회 위원, 최고인민회의 제12기 대의원 겸 대의원자격심사위원, 인민군 대장
345;박태원;NULL;수산상, 최고인민회의 제12기 대의원
347;김형룡;NULL;인민군 상장, 당 중앙위 위원
348;김평해;NULL;당 중앙위 비서, 당 간부부장, 당 정치국 후보위원, 당 중앙위 위원, 최고인민회의 제12기 대의원 겸 법제위원회 위원
349;김영호;NULL;전 내각사무국 국장, 당 중앙위 후보위원, 최고인민회의 제12기 대의원 겸 대의원자격심사위원회 위원
350;김영대;NULL;조선사회민주당 중앙위 위원장, 최고인민회의 상임위원회 부위원장, 민족화해협의회 회장, ?범민련? 북측본부 부의장, 최고인민회의 제12기 대의원
351;김영일;NULL;당 중앙위 비서, 당 국제부 부장, 당 정치국 후보위원,
351;김영일;NULL;당 중앙위 위원, 최고인민회의 법제위원회 위원
352;김원홍;NULL;국가안전보위부장, 당 정치국 위원, 당 중앙군사위 위원, 국방위원회 위원, 인민군 대장, 당 중앙위 위원, 최고인민회의 제12기 대의원 겸 대의원자격심사위원회 위원
353;김창식;NULL;최고인민회의 제12기 대의원, 前 농업상
