MOUID,KoreanName,CareerStringID,CareerString,CareerStartYear,CareerStartMonth,EventType,JointAppointment,Org1,Org2,Org3,Org4,Org5,Position,OrgLevel,PositionLevel,OrgPositionString
221,오진우,694,"1960. 8 인민군 상장, 인민군 제1집단군 사령관",1960,8,1,Joint,"인민군 총참모부",1집군단사령부,NA,NA,NA,사령관,2,1,"인민군 총참모부_1집군단사령부_NA_NA_사령관"
221,오진우,699,"1969. 2 인민군 총참모장",1969,2,1,NULL,"인민군 총참모부",NA,NA,NA,NA,총참모장,1,1,"인민군 총참모부_NA_NA_NA_총참모장"
258,리을설,926,"1948. 8 인민군 연대장",1948,8,1,NULL,"인민군 총참모부",X군단,X사단,X연대,NA,연대장,4,1,"인민군 총참모부_X군단_X사단_X연대_연대장"
258,리을설,927,"1950. 7 인민군 제4사단 참모장",1950,7,1,NULL,"인민군 총참모부",X군단,4사단,NA,NA,참모장,3,3,"인민군 총참모부_X군단_4사단_NA_참모장"
258,리을설,928,"1951. 4 인민군 제15사단 제3연대 연대장",1951,4,1,NULL,"인민군 총참모부",X군단,15사단,3연대,NA,연대장,4,1,"인민군 총참모부_X군단_15사단_3연대_연대장"
258,리을설,929,"1957. 3 인민군 소장, 인민군 사단장",1957,3,1,Joint,"인민군 총참모부",X군단,X사단,NA,NA,사단장,3,1,"인민군 총참모부_X군단_X사단_NA_사단장"
258,리을설,930,"1962.10 인민군 중장, 5군단장, 최고인민회의 제3기 대의원",1962,10,1,Joint,"인민군 총참모부",5군단,NA,NA,NA,군단장,2,1,"인민군 총참모부_5군단_NA_NA_군단장"
258,리을설,931,"1966. 5 인민군 제5집단군 참모장",1966,5,1,NULL,"인민군 총참모부",5집단군사령부,NA,NA,NA,참모장,2,3,"인민군 총참모부_5집단군사령부_NA_NA_참모장"
258,리을설,932,"1968. 3 인민군 제1집단군 사령관",1968,3,1,NULL,"인민군 총참모부",1집군단사령부,NA,NA,NA,사령관,2,1,"인민군 총참모부_1집군단사령부_NA_NA_사령관"
258,리을설,933,"1972. 2 인민군 상장, 인민군 제5집단군 사령관",1972,2,1,Joint,"인민군 총참모부",5집단군사령부,NA,NA,NA,사령관,2,1,"인민군 총참모부_5집단군사령부_NA_NA_사령관"
