LeaderID,CareerDateString_2022,CareerString_2022,MOUID_2015,Name,CareerStringID_2015,CareerString_2015,CareerStartYear,CareerStartMonth,EventType,JointAppointment,Org1,Org2,Org3,Org4,Org5,Position,OrgLevel,PositionLevel,OrgPositionString
강관주,1986,조선노동당 조직지도부 부부장,807,강관주,연도미상김일성고급당학교 졸업,,김일성고급당학교,특수학교,북한,year_김일성고급당학교_특수학교_북한,,,,,,,,,
강관주,1975.05,대외문화연락협회 국장,807,강관주,1960. 김일성종합대학 역사학부 졸업,1960,김일성종합대학교,대학교,북한,1960_김일성종합대학교_대학교_북한,,,,,,,,,
강관주,1975.05,대외문화연락협회 국장,807,강관주,연도미상김일성고급당학교 졸업,,김일성고급당학교,특수학교,북한,year_김일성고급당학교_특수학교_북한,,,,,,,,,
강관주,1973,만경대예술단 섭외부 부부장,807,강관주,1960. 김일성종합대학 역사학부 졸업,1960,김일성종합대학교,대학교,북한,1960_김일성종합대학교_대학교_북한,,,,,,,,,
강관주,1973,만경대예술단 섭외부 부부장,807,강관주,연도미상김일성고급당학교 졸업,,김일성고급당학교,특수학교,북한,year_김일성고급당학교_특수학교_북한,,,,,,,,,
강관주,1973,당 문화부 과장,807,강관주,1960. 김일성종합대학 역사학부 졸업,1960,김일성종합대학교,대학교,북한,1960_김일성종합대학교_대학교_북한,,,,,,,,,
강관주,1973,당 문화부 과장,807,강관주,연도미상김일성고급당학교 졸업,,김일성고급당학교,특수학교,북한,year_김일성고급당학교_특수학교_북한,,,,,,,,,
강관주,1961,체육과학연구소 연구원,807,강관주,1960. 김일성종합대학 역사학부 졸업,1960,김일성종합대학교,대학교,북한,1960_김일성종합대학교_대학교_북한,,,,,,,,,
강관주,1961,체육과학연구소 연구원,807,강관주,연도미상김일성고급당학교 졸업,,김일성고급당학교,특수학교,북한,year_김일성고급당학교_특수학교_북한,,,,,,,,,
강관주,연도미상,최고인민회의 제 10기 대의원,807,강관주,1960. 김일성종합대학 역사학부 졸업,1960,김일성종합대학교,대학교,북한,1960_김일성종합대학교_대학교_북한,,,,,,,,,
강관주,연도미상,최고인민회의 제 10기 대의원,807,강관주,연도미상김일성고급당학교 졸업,,김일성고급당학교,특수학교,북한,year_김일성고급당학교_특수학교_북한,,,,,,,,,
강관주,연도미상,보천보전자악단 고문,807,강관주,1960. 김일성종합대학 역사학부 졸업,1960,김일성종합대학교,대학교,북한,1960_김일성종합대학교_대학교_북한,,,,,,,,,
강관주,연도미상,보천보전자악단 고문,807,강관주,연도미상김일성고급당학교 졸업,,김일성고급당학교,특수학교,북한,year_김일성고급당학교_특수학교_북한,,,,,,,,,
강관주,연도미상,최고인민회의 제 9기 대의원,807,강관주,1960. 김일성종합대학 역사학부 졸업,1960,김일성종합대학교,대학교,북한,1960_김일성종합대학교_대학교_북한,,,,,,,,,
강관주,연도미상,최고인민회의 제 9기 대의원,807,강관주,연도미상김일성고급당학교 졸업,,김일성고급당학교,특수학교,북한,year_김일성고급당학교_특수학교_북한,,,,,,,,,
강관주,연도미상,前 조국평화통일위원회 부위원장,807,강관주,1960. 김일성종합대학 역사학부 졸업,1960,김일성종합대학교,대학교,북한,1960_김일성종합대학교_대학교_북한,,,,,,,,,
