LeaderID,EducationDateString_2022,EducationSchoolString_2022,EducationMajorString_2022,EducationGraduationStatus_2022,MOUID_2015,Name_2015,EducationString_2015,SchoolYear_2015,SchoolName_2015,SchoolLevel_2015,SchoolRegion_2015,SchoolStringConcat_2015
권희경,연도미상,김일성종합대학,,미상,426,권희경,연도미상 김일성종합대학,,김일성종합대학교,대학교,북한,year_김일성종합대학교_대학교_북한
김격식,연도미상,강건군관학교,,졸업,427,김격식,연도미상강건군관학교 졸업,,강건군관학교,특수학교,북한,year_강건군관학교_특수학교_북한
김경호a,연도미상,국제관계대학,,미상,648,김경호,연도미상국제관계대학 졸업,,국제관계대학교,대학교,북한,year_국제관계대학교_대학교_북한
김경희,연도미상,김일성종합대학,,미상,423,김경희,"연도미상김일성종합대학, 모스크바대학",,김일성종합대학교,대학교,북한,year_김일성종합대학교_대학교_북한
김경희,연도미상,김일성종합대학,,미상,423,김경희,"연도미상김일성종합대학, 모스크바대학",,모스크바대학교,대학교,러시아,year_모스크바대학교_대학교_러시아
김경희,연도미상,모스크바대학교,,미상,423,김경희,"연도미상김일성종합대학, 모스크바대학",,김일성종합대학교,대학교,북한,year_김일성종합대학교_대학교_북한
김경희,연도미상,모스크바대학교,,미상,423,김경희,"연도미상김일성종합대학, 모스크바대학",,모스크바대학교,대학교,러시아,year_모스크바대학교_대학교_러시아
김계관,연도미상,평양외국어대학,,미상,409,김계관,"연도미상 평양외국어대학, 평양국제관계대학",,평양국제관계대학교,대학교,북한,year_평양국제관계대학교_대학교_북한
김계관,연도미상,평양외국어대학,,미상,409,김계관,"연도미상 평양외국어대학, 평양국제관계대학",,평양외국어대학교,대학교,북한,year_평양외국어대학교_대학교_북한
김계관,연도미상,국제관계대학,,미상,409,김계관,"연도미상 평양외국어대학, 평양국제관계대학",,평양국제관계대학교,대학교,북한,year_평양국제관계대학교_대학교_북한
김계관,연도미상,국제관계대학,,미상,409,김계관,"연도미상 평양외국어대학, 평양국제관계대학",,평양외국어대학교,대학교,북한,year_평양외국어대학교_대학교_북한
김국태,연도미상,고급당학교,,졸업,139,김국태,"연도미상 김일성종합대학, 모스크바대학, 고급당학교 졸업",,고급당학교,특수학교,북한,year_고급당학교_특수학교_북한
김국태,연도미상,고급당학교,,졸업,139,김국태,"연도미상 김일성종합대학, 모스크바대학, 고급당학교 졸업",,김일성종합대학교,대학교,북한,year_김일성종합대학교_대학교_북한
김국태,연도미상,고급당학교,,졸업,139,김국태,"연도미상 김일성종합대학, 모스크바대학, 고급당학교 졸업",,모스크바대학교,대학교,러시아,year_모스크바대학교_대학교_러시아
김기남,연도미상,김일성종합대학,,미상,417,김기남,"연도미상김일성종합대학, 만경대혁명학원, 모스크바국제대학",,김일성종합대학교,대학교,북한,year_김일성종합대학교_대학교_북한
김기남,연도미상,김일성종합대학,,미상,417,김기남,"연도미상김일성종합대학, 만경대혁명학원, 모스크바국제대학",,만경대혁명학원,대학교,북한,year_만경대혁명학원_대학교_북한
김기남,연도미상,김일성종합대학,,미상,417,김기남,"연도미상김일성종합대학, 만경대혁명학원, 모스크바국제대학",,모스크바국제대학교,대학교,러시아,year_모스크바국제대학교_대학교_러시아
김기남,연도미상,모스크바국제대학,,미상,417,김기남,"연도미상김일성종합대학, 만경대혁명학원, 모스크바국제대학",,김일성종합대학교,대학교,북한,year_김일성종합대학교_대학교_북한
김기남,연도미상,모스크바국제대학,,미상,417,김기남,"연도미상김일성종합대학, 만경대혁명학원, 모스크바국제대학",,만경대혁명학원,대학교,북한,year_만경대혁명학원_대학교_북한
김기남,연도미상,모스크바국제대학,,미상,417,김기남,"연도미상김일성종합대학, 만경대혁명학원, 모스크바국제대학",,모스크바국제대학교,대학교,러시아,year_모스크바국제대학교_대학교_러시아
김기남,연도미상,만경대혁명학원,,미상,417,김기남,"연도미상김일성종합대학, 만경대혁명학원, 모스크바국제대학",,김일성종합대학교,대학교,북한,year_김일성종합대학교_대학교_북한
김기남,연도미상,만경대혁명학원,,미상,417,김기남,"연도미상김일성종합대학, 만경대혁명학원, 모스크바국제대학",,만경대혁명학원,대학교,북한,year_만경대혁명학원_대학교_북한
김기남,연도미상,만경대혁명학원,,미상,417,김기남,"연도미상김일성종합대학, 만경대혁명학원, 모스크바국제대학",,모스크바국제대학교,대학교,러시아,year_모스크바국제대학교_대학교_러시아
김기룡,연도미상,김일성종합대학,,졸업,272,김기룡,연도미상 김일성종합대학 졸업,,김일성종합대학교,대학교,북한,year_김일성종합대학교_대학교_북한
김락희,연도미상,인민경제대학,,졸업,252,김락희,"연도미상 개천여자중학교, 인민경제대학 졸업",,개천여자중학교,고등중학교,북한,year_개천여자중학교_고등중학교_북한
김락희,연도미상,인민경제대학,,졸업,252,김락희,"연도미상 개천여자중학교, 인민경제대학 졸업",,인민경제대학교,대학교,북한,year_인민경제대학교_대학교_북한
김락희,연도미상,개천여자중학교,,미상,252,김락희,"연도미상 개천여자중학교, 인민경제대학 졸업",,개천여자중학교,고등중학교,북한,year_개천여자중학교_고등중학교_북한
김락희,연도미상,개천여자중학교,,미상,252,김락희,"연도미상 개천여자중학교, 인민경제대학 졸업",,인민경제대학교,대학교,북한,year_인민경제대학교_대학교_북한
김령성,연도미상,김일성종합대학,조선어문학,미상,663,김령성,연도미상 김일성종합대학 조선어문학부 졸업,,김일성종합대학교,대학교,북한,year_김일성종합대학교_대학교_북한
김류호,연도미상,함흥화학공업대학,,미상,,1948_name_특수학교_,,,,,,
김명국,연도미상,김일성군사종합대학교,,졸업,453,김명국,"연도미상김일성군사종합대학, 소련 프룬제군사대학 졸업",,김일성군사종합대학교,대학교,북한,year_김일성군사종합대학교_대학교_북한
김명국,연도미상,김일성군사종합대학교,,졸업,453,김명국,"연도미상김일성군사종합대학, 소련 프룬제군사대학 졸업",,프룬제군사대학교,대학교,러시아,year_프룬제군사대학교_대학교_러시아
김명길a,연도미상,김일성종합대학,,미상,653,김명길,연도미상 김일성종합대학 졸업,,김일성종합대학교,대학교,북한,year_김일성종합대학교_대학교_북한
김병률,연도미상,만경대혁명학원,,미상,131,김병률,"연도미상 만경대혁명학원, 체코 프라하공대 졸업",,만경대혁명학원,특수학교,북한,year_만경대혁명학원_특수학교_북한
김병률,연도미상,만경대혁명학원,,미상,131,김병률,"연도미상 만경대혁명학원, 체코 프라하공대 졸업",,체코프라하공대,대학교,체코,year_체코프라하공대_대학교_체코
김병팔,연도미상,소련 도네프로페드롭스크 야금대학,,미상,450,김병팔,"연도미상 만경대혁명학원, 소련 도네프로페드롭스크 야금대학",,만경대혁명학원,특수학교,북한,year_만경대혁명학원_특수학교_북한
김병팔,연도미상,소련 도네프로페드롭스크 야금대학,,미상,450,김병팔,"연도미상 만경대혁명학원, 소련 도네프로페드롭스크 야금대학",,야금대학교,대학교,북한,year_야금대학교_대학교_북한
김병팔,연도미상,만경대혁명학원,,미상,450,김병팔,"연도미상 만경대혁명학원, 소련 도네프로페드롭스크 야금대학",,만경대혁명학원,특수학교,북한,year_만경대혁명학원_특수학교_북한
김병팔,연도미상,만경대혁명학원,,미상,450,김병팔,"연도미상 만경대혁명학원, 소련 도네프로페드롭스크 야금대학",,야금대학교,대학교,북한,year_야금대학교_대학교_북한
김병훈,연도미상,평양사범대학,,미상,654,김병훈,연도미상 평양사범대학 졸업,,평양사범대학교,대학교,북한,year_평양사범대학교_대학교_북한
김봉철,연도미상,김일성종합대학,,미상,145,김봉철,연도미상 김일성종합대학 졸업,,김일성종합대학교,대학교,북한,year_김일성종합대학교_대학교_북한
김성기,연도미상,천진남개대,,미상,,,,,,,,
김성애,연도미상,평양여자사범대,,미상,125,김성애,"연도미상 평양여자사범대학, 김일성종합대학 졸업",,김일성종합대학교,대학교,북한,year_김일성종합대학교_대학교_북한
김성애,연도미상,평양여자사범대,,미상,125,김성애,"연도미상 평양여자사범대학, 김일성종합대학 졸업",,평양여자사범대학,대학교,북한,year_평양여자사범대학_대학교_북한
김시학,연도미상,김일성종합대학,,미상,660,김시학,"연도미상 체코프라하공대, 만경대혁명학원, 모스크바종합대",,만경대혁명학원,특수학교,북한,year_만경대혁명학원_특수학교_북한
김시학,연도미상,김일성종합대학,,미상,660,김시학,"연도미상 체코프라하공대, 만경대혁명학원, 모스크바종합대",,모스크바종합대학교,대학교,러시아,year_모스크바종합대학교_대학교_러시아
김시학,연도미상,김일성종합대학,,미상,660,김시학,"연도미상 체코프라하공대, 만경대혁명학원, 모스크바종합대",,체코프라하공대,대학교,체코,year_체코프라하공대_대학교_체코
