102;장성택;27;2010.11 조명록 국가장의위원회 위원;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;org1_org2_org3_org4_position
102;장성택;28;2011. 1 박정순 국가장의위원회 위원;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;org1_org2_org3_org4_position
102;장성택;29;2011.12 김정일 국가장의위원회 위원;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;org1_org2_org3_org4_position
102;장성택;30;2012. 2 김정일훈장 수훈;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;org1_org2_org3_org4_position
102;장성택;31;2012. 4 당 정치국 위원;2012;4;1;NULL;노동당;중앙위원회;정치국;NA;NA;위원;3;3;노동당_중앙위원회_정치국_NA_위원
102;장성택;32;2013. 12.12 특펼군사제판에서 사형 집행;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;org1_org2_org3_org4_position
102;장성택;33;2013. 12.8 모든 직에서 해임;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;org1_org2_org3_org4_position
102;장성택;34;연도미상 김일성종합대학;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;org1_org2_org3_org4_position
102;장성택;35;연도미상 인민군 대장;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;org1_org2_org3_org4_position
103;윤기정;5;1986.11 최고인민회의 제8기 대의원;1986;11;1;NULL;최고인민회의;NA;NA;NA;NA;대의원;1;3;최고인민회의_NA_NA_NA_대의원
103;윤기정;10;1990. 4 최고인민회의 제9기 대의원;1990;4;1;NULL;최고인민회의;NA;NA;NA;NA;대의원;1;3;최고인민회의_NA_NA_NA_대의원
103;윤기정;16;1998. 9 최고인민회의 제10기 대의원;1998;9;1;NULL;최고인민회의;NA;NA;NA;NA;대의원;1;3;최고인민회의_NA_NA_NA_대의원
103;윤기정;18;2003. 9 최고인민회의 제11기 대의원;2003;9;1;NULL;최고인민회의;NA;NA;NA;NA;대의원;1;3;최고인민회의_NA_NA_NA_대의원
103;윤기정;36;1980. 4 정무원 재정부장;1980;4;1;NULL;내각;재정부;NA;NA;NA;부장;2;1;내각_재정부_NA_NA_부장
103;윤기정;37;1980.10 당 중앙위 후보위원;1980;10;1;NULL;노동당;중앙위원회;NA;NA;NA;후보위원;2;3;노동당_중앙위원회_NA_NA_후보위원
103;윤기정;38;1981. 6 북-시리아 친선협회 위원장;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;org1_org2_org3_org4_position
