Org1,Org2
,
최고인민회의,
노동당,중앙위원회
국방위원회,
내각,재정부
인민군 총참모부,2군단
인민군 총참모부,1군단
인민군 총참모부,5군단
인민군 총참모부,4군단
인민군 총참모부,X기계화군단
인민군 총참모부,공군사령부
국방위원회,보위국
최고인민회의,법안심의위원회
최고인민회의,법제위원회
내각,외무성
내각,대외경제위원회
인민군 총참모부,7군단
인민군 총참모부,X군단
인민군 총참모부,
최고인민회의,상설회의
내각,
내각,외교부
최고인민회의,상임위원회
내각,문화예술부
내각,전자자동화공업위원회
내각,금속기계공업성
내각,전자공업성
내각,해운부
최고인민회의,나선시 인민위원회
최고인민회의,평안북도 인민위원회
중앙인민위원회,
국방위원회,호위사령부
중앙재판소,
최고재판소,
인민군 총참모부,1집군단사령부
인민군 총참모부,평양방어사령부
국방위원회,총정치국
최고인민회의,자격심사위원회
내각,상업부
내각,상업성
최고인민회의,평양시 인민위원회
내각,교통 체신위원회
최고인민회의,함경북도 인민위원회
내각,도시경영부
내각,국토환경보호성
내각,도시경영성
내각,사무국
최고인민회의,통일정책위원회
내각,전력공업성
노동당,중앙검사위원회
내각,건설건재공업성
내각,사회안전부
인민군 총참모부,3군단
국방위원회,민족보위성
최고인민회의,황해남도 인민위원회
국방위원회,인민무력부
내각,교육위원회
내각,교육성
최고인민회의,자강도 인민위원회
내각,체신성
인민군 총참모부,포병사령부
내각,무역부
내각,무역성
최고인민회의,예산위원회
내각,X국
최고인민회의,남포시 인민위원회
중앙인민위원회,행정경제위원회
최고인민회의,함경도 인민위원회
내각,중앙통계국
내각,국가계획위원회
최고인민회의,예산심의위원회
노동당,
내각,전기석탄공업성
내각,석탄공업성
내각,제2기계공업성
내각,선박기계공업부
중앙인민위원회,법제위원회
최고인민회의,중앙선거지도위원회
최고인민회의,외교위원회
내각,기계공업부
내각,기계공업성
인민군 총참모부,5집단군사령부
인민군 총참모부,해군사령부
내각,원유공업부
내각,원유공업성
내각,국가건설위원회
내각,국가건설감독성
최고인민회의,황해북도 인민위원회
최고인민회의,황해북도인민위원회
내각,문화성
내각,문화선전성
내각,사회안전성
내각,국가검열위원회
내각,교통위원회
내각,건설성
내각,국가검열성
내각,금속공업부
내각,건설건재공업위원회
내각,채취공업성
최고인민회의,통일정책심의위원회
내각,화학공업성
내각,인민보안성
내각,수도건설위원회
내각,노동행정부
내각,합영공업부
내각,국가과학기술위원회
내각,인민봉사위원회
최고인민회의,강원도 인민위원회
내각,자원개발부
내각,금속공업성
인민군 총참모부,9군단
내각,농업위원회
내각,농업성
국방위원회,인민보안부
인민군 총참모부,8군단
내각,수매양정성
중앙검찰소,
내각,보건부
내각,보건성
인민군 총참모부,반항공군사령부
내각,산업성
내각,경공업성
내각,광업성
내각,중공업위원회
최고인민회의,중앙선거위원회
내각,경공업위원회
내각,체육성
내각,임업성
인민군 총참모부,6군단
내각,철도성
내각,공보위원회
내각,육해운성
내각,자재공급위원회
내각,노동성
노동당,문화부
내각,금속기계공업위원회
내각,대외경제사업부
최고인민회의,양강도 인민위원회
내각,식료일용공업성
최고인민회의,함경남도 인민위원회
최고검찰소,
내각,사회안정성
인민군 총참모부,2집단군사령부
내각,재정성
내각,채취공업위원회
내각,제1기계공업부
내각,육해운부
내각,체신부
내각,체육부
